Scouter Name,Team #,Alliance,Match Number,Quaification Match,Quarterfinal Match,Semifinal Match,Final Match,Starting Level,Hatches Level 1,Hatches Level 2,Hatches Level 3,Cargo Level 1,Cargo Level 2,Cargo Level 3,Endgame Level 1,Endgame Level 2,Endgame Level 3,Robot Disabled,Robot Carry Level 1,Robot Carry Level 2,Robot Carry Level 3
Ram,59,Red,36,Yes,No,No,No,0,2,0,0,2,2,1,0,0,0,0,0,0,0
Antonio,2976,Red,36,Yes,No,No,No,1,2,2,2,0,0,1,0,0,0,0,0,0,0
Ram,7433,Blue,34,Yes,No,No,No,1,1,0,0,1,0,0,0,0,0,0,0,0,0
brett,6506,Blue,40,Yes,No,No,No,2,0,0,0,1,0,0,1,0,0,1,0,0,0
fernando,3824,Red,40,Yes,No,No,No,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Antonio,3794,Red,40,Yes,No,No,No,1,3,1,1,0,0,0,1,0,0,0,0,0,0
Ram,1425,Blue,40,Yes,No,No,No,1,2,0,0,2,0,0,1,0,0,0,0,0,0
Antonio,6919,Red,41,No,No,No,No,1,1,0,0,0,0,0,0,0,1,0,0,0,0
brett,3735,Blue,41,Yes,No,No,No,2,0,0,0,1,0,0,0,1,0,0,0,0,0
ricky,7447,Red,34,Yes,No,No,No,2,1,0,0,3,0,0,1,0,0,0,0,0,0
Ram,2357,Blue,41,Yes,No,No,No,1,0,0,0,4,0,0,1,0,0,0,0,0,0
fernando,691,Red,41,No,No,No,No,2,3,0,0,0,0,0,1,0,0,0,0,0,0
michael,2992,Blue,41,Yes,No,No,No,2,2,1,0,1,0,0,1,0,0,0,0,0,0
Antonio,1072,Red,42,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
brett,6485,Blue,42,Yes,No,No,No,1,0,0,0,5,0,0,1,0,0,0,0,0,0STOPPER
ricky,4910,Red,42,Yes,No,No,No,1,3,2,0,3,0,0,0,0,0,0,0,0,0
Ram,6704,Blue,42,Yes,No,No,No,1,2,0,0,0,0,0,1,0,0,0,0,0,0
michael,2122,Blue,42,Yes,No,No,No,1,2,2,2,3,0,0,1,0,0,0,0,0,0
Jon,3476,Red,43,Yes,No,No,No,1,2,2,2,2,2,2,1,0,0,0,0,0,0
skyler,7461,Blue,43,Yes,No,No,No,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Courtney,6838,Blue,43,Yes,No,No,No,2,0,0,0,10,0,0,1,0,0,0,0,0,0
sarah c,1987,Red,43,Yes,No,No,No,2,2,0,0,3,0,0,0,1,0,0,0,0,0
